,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
222, Randwick Food Hub ,Australia,0,3.2934,31,35,5.6
223, Xin Wei Xuan Peking Duck Restaurant ,Australia,0,2.6334,63,35,5.24
224, Great Aunty Three - Enmore ,Australia,0,1.3134,54,35,5.01
225, Sushi and Bento 233 - Waterloo ,Australia,0,2.6334,16,40,5.25
226, Nem Kitchen ,Australia,0,1.9734,5,35,5.47
227, Sushi Square ,Australia,0,2.6334,51,35,5.01
228, Teaplus ,Australia,9.9,3.267,169,35,5.01
229, Domino's - Newtown (NSW) ,Australia,0,3.2934,171,35,4.7
230, TeaPlus ,Australia,0,1.9734,3,35,4.89
231, Let's Chon - Sydenham ,Australia,0,2.6334,9,35,5.33
232, Cupino Central ,Australia,26.4,0,10,35,5.37
233, Zio Pino Pizzeria ,Australia,0,3.2934,62,35,4.89
234, Maru Ten ,Australia,0,3.2934,20,45,4.98
235, 18 Grams - Eastgardens ,Australia,0,0.3234,127,35,4.78
236, Photown Alexandria ,Australia,0,2.6334,162,35,4.64
237, Silver Spoon Bistro - The Lakes Hotel ,Australia,0,1.9734,35,35,4.84
238, Two Peck Crispy Chicken - Waterloo ,Australia,0,3.2934,75,35,4.63
239, The Sandwich Stop ,Australia,0,1.9734,24,35,4.78
240, Ramen Dragon ,Australia,0,3.2934,937,20,4.9
241, Brothers Grill ,Australia,0,3.2934,3,35,3.22
242, Chinese Rice Noodle ,Australia,0,1.3134,32,40,4.33
243, Seasoning Thai - Express ,Australia,0,2.3034,14,35,5.1
244, Kebabs On Cleveland ,Australia,0,3.2934,518,35,4.83
245, Krispy Kreme - Mascot ,Australia,0,3.2934,7,35,5.62
246, Svens Viking Pizza - Maroubra ,Australia,0,1.9734,53,35,4.57
247, The Moo - Zetland ,Australia,0,3.2934,54,40,4.09
248, Kamomile Cafe ,Australia,0,3.2934,63,35,4.88
249, Rice & Curry ,Australia,0,2.9634,154,45,4.5
250, Atlantis On The Bay ,Australia,0,1.9734,6,35,4.39
251, Karl's Charcoal Chicken ,Australia,0,3.2934,75,35,4.64
252, Saigon Summer Streetfood - Surry Hills ,Australia,0,3.2934,16,35,4.08
253, Do Dee Paidang ,Australia,0,3.2934,29,45,4.53
254, The Cafe Sienna ,Australia,0,1.9734,144,35,4.33
255, Broasters Fried Chicken ,Australia,0,3.2934,13,35,4.28
256, Manny's Cheesesteaks & Pizza ,Australia,0,3.2934,14,35,4.79
257, Thai La-Ong Restaurant ,Australia,0,1.9734,5,35,5.07
258, Gotcha Fresh Tea - Broadway ,Australia,0,3.9534,299,35,4.98
259, Salsabil ,Australia,19.8,0,66,40,4.6
260, Tums Takeaway ,Australia,0,3.2934,71,35,5.25
261, Delhi 'O' Delhi ,Australia,0,3.2934,4,35,3.17
262, Eleven Miles ,Australia,0,3.2934,9,35,4.11
263, Malay Malay ,Australia,0,2.6334,3,35,3.89
264, Sushi Train - Oxford ,Australia,0,3.2934,20,35,5.4
265, GRK Souvlaki - Mascot ,Australia,0,1.9734,155,35,4.06
266, Mario's Pizza Bar ,Australia,0,3.2934,30,35,4.36
267, Chicken Shop - Newtown ,Australia,0,2.6334,11,35,5.15
268, Junction Espresso Bar ,Australia,0,3.2934,12,35,5.11
269, Angelo Pascucci ,Australia,0,3.2934,117,35,4.94
270, Steve Costi’s Seafood - Broadway ,Australia,0,3.2934,2,35,4.17
271, San Churro - Glebe ,Australia,0,0.6534,6,35,4.17
272, Scarfo's Family Pizza Restaurant ,Australia,0,3.2934,2,35,4
273, BP Mascot ,Australia,0,2.9634,4,35,4.75
274, Beau Tea - Kingsford ,Australia,0,3.2934,131,35,4.54
275, Indian Fresh Curry ,Australia,0,2.6334,80,35,4.93
276, The Muglan ,Australia,0,3.9534,5,35,5.6
277, Rose Borek ,Australia,0,2.6334,31,35,4.54
278, Dumplings & Beer - Randwick ,Australia,0,3.2934,3,35,4.33
279, Tea Talk - Waterloo ,Australia,0,1.3134,14,35,4.24
280, The Moment ,Australia,0,2.6334,38,35,5.04
281, Ojas Ayurvedic ,Australia,0,3.2934,12,35,4.94
282, Zambrero - Waterloo ,Australia,0,1.9734,26,35,5.21
283, Cossies Cafe Restaurant ,Australia,0,0.6534,13,35,4.77
284, Stacked - Mascot ,Australia,0,2.3034,32,35,5.02
285, AAA Grocery - Surry Hills ,Australia,0,1.9734,479,35,4.96
286, Khao Yum Thai Restaurant ,Australia,0,2.6334,71,35,4.4
287, On Dalmeny Cafe - Rosebery ,Australia,0,3.9534,1,35,6
288, East Phoenix Chinese Restaurant ,Australia,0,3.9534,12,35,5.08
289, ShangWeiXuan Sichuan and Cantonese ,Australia,0,1.9734,18,35,5.07
290, Kensington Chinese Restaurant ,Australia,0,0.3234,14,35,3.76
291, Taisho Japanese Restaurant - Mascot ,Australia,0,2.6334,50,35,4.41
292, La Cachette Cafe ,Australia,0,3.2934,5,35,5.47
293, Wing'n It ,Australia,0,3.2934,1,35,6
294, Babas Kebabs Burgers Snack Packs ,Australia,0,3.2934,1,35,6
295, Wildman Pizza ,Australia,0,1.9734,50,35,4.92
296, Savoey ,Australia,0,0,25,35,4.91
297, Hoshiya Japanese Cuisine - Waterloo ,Australia,0,3.2934,8,35,5.54
298, Big Cousin BBQ Chinese Restaurant ,Australia,0,3.2934,14,35,5.88
299, Everise Handmade Noodle ,Australia,0,0.6534,257,35,4.65
300, Kowloon Cafe ,Australia,0,3.2934,4,40,4.83
301, Global Convenience Store ,Australia,0,2.9634,2,35,4.84
302, 1014 Ten Fourteen Bubble Tea - Kingsford ,Australia,0,3.2934,19,35,4.21
303, Sticky Fingers ,Australia,0,2.6334,9,35,4.22
304, Botany Hot Bread ,Australia,0,1.6434,107,35,4.94
305, Cordial Burgers ,Australia,0,3.2934,1,35,1
306, Spice Thai Cuisine Mascot ,Australia,0,0.6534,2,35,5.84
307, P'Nut Street Noodles - Zetland ,Australia,0,3.2934,3,35,3.67
308, Local Stop ,Australia,0,1.9734,7,35,4.67
309, Holm Breakky Cafe ,Australia,0,3.2934,6,35,3.89
310, Mates Kebab and Grill ,Australia,0,2.9634,2,35,5.34
311, Lord Of The Wings - Surry Hills ,Australia,0,1.3134,2,35,4.34
312, Sharetea - UNSW ,Australia,0,3.2934,12,35,3.97
313, Yoshinoya Authentic Japanese Takeaway - Kingsford ,Australia,0,3.2934,111,35,4.15
314, Brazilian Flame Barbecue ,Australia,0,0.6534,1,35,3.67
315, Fred's Oil & Oregano Lebanese Bakery ,Australia,0,0.6534,16,35,4.21
316, Lokanta Turkish Eatery ,Australia,0,0.6534,25,35,4.17
317, Filipino Fiesta Grocery ,Australia,0,3.2934,32,35,5.06
318, Rush Hour Expresso ,Australia,0,3.9534,21,35,4.03
319, Drink Bar @ Ole ,Australia,0,1.9734,276,35,4.4
320, Bambuu Vietnamese Grill & Noodle Bar ,Australia,0,3.2934,1,35,1
321, Vecino - CBD ,Australia,0,3.2934,12,35,4.58
322, Coopers Hotel ,Australia,0,3.2934,1,35,5.67
323, Juiceria - Dulwich Hill ,Australia,0,3.2934,21,35,4.27
324, Miyama Japanese Restaurant ,Australia,0,3.9534,12,35,4.78
325, MakNyoss ,Australia,0,3.2934,1,35,4
326, Sushi Hub - World Tower ,Australia,0,1.3134,16,35,4.35
327, Slide N Shake - Haymarket ,Australia,0,3.2934,6,35,3.28
328, Mums Kitchen - Eastlakes ,Australia,0,3.2934,1,35,4.67
329, Soul Burger - Glebe ,Australia,0,0.6534,21,35,4.86
330, Kindoo Sushi ,Australia,0,3.2934,90,35,4.93
331, Dispensary 1908 ,Australia,0,1.3134,68,35,5.16
332, aaira & co ,Australia,0,3.9534,40,35,4.53
333, Budget Petrol - Chippendale ,Australia,0,3.2934,87,35,5.02
334, Ampere Coffee ,Australia,0,3.2934,5,35,5.2
335, Mxpresso Cafe on Coward ,Australia,0,3.2934,8,35,5.29
336, Yummy Pepper House ,Australia,0,3.2934,20,35,5.17
337, Sindbad's Kebab & Pizza - Sydney ,Australia,0,3.2934,41,35,5.06
338, Macchiato ,Australia,0,3.2934,15,35,4.87
339, Kuma Don - Japanese Donburi ,Australia,0,2.6334,6,35,2.56
340, Bakers Delight - Norton Plaza ,Australia,0,2.9634,2,35,6
341, Red Wok Thai To Go ,Australia,0,3.2934,13,35,3.72
342, Alex Lee Kitchen ,Australia,0,3.2934,43,35,5.24
343, Manny's Cheesesteaks and Pizza ,Australia,0,0,58,35,4.44
344, Original Royaltea ,Australia,0,3.2934,13,35,4.72
345, Golden Bowl - Randwick ,Australia,0,3.2934,9,35,4.48
346, Baked & Co. - Eastgardens ,Australia,0,2.6334,459,35,5.11
347, Hotpot and BBQ House (Best Taste Restaurant) ,Australia,0,3.2934,8,35,5
348, Holm Burgers Cafe ,Australia,0,3.2934,114,35,4.98
349, Madame Nhu Darlinghurst ,Australia,0,3.2934,108,35,4.83
350, Teaplus - Haymarket ,Australia,0,2.6334,4,35,3.83
351, Cordial - Newtown ,Australia,0,3.2934,10,35,4.87
352, Pinocchio Sushi ,Australia,0,3.2934,33,35,5
353, Les Thym ,Australia,0,3.2934,22,35,5.5
354, Waffles @ The Spot ,Australia,0,2.6334,8,35,5.21
355, Crispy Gourmet Pizza ,Australia,0,3.2934,9,35,3.81
356, Boutic ,Australia,0,2.6334,116,35,4.78
357, Twenty35 Espresso ,Australia,0,3.2934,25,35,5.13
358, Chinatown Noodle Restaurant - Haymarket ,Australia,0,3.2934,5,35,4.93
359, Kickin'Inn - Zetland ,Australia,0,3.2934,44,35,4.67
360, The Cheesecake Shop - Maroubra Junction ,Australia,0,3.2934,10,35,5.13
361, Mr Yeeros ,Australia,0,3.2934,111,35,4.53
362, Phoodle Eatery - Kingsford ,Australia,0,0.6534,54,35,4.9
363, Shorty's Cafe - Randwick ,Australia,0,3.2934,66,35,4.92
364, Christopher's Cake Shop - Mascot ,Australia,0,3.2934,14,35,4.12
365, ToastieSmith - Darling Square ,Australia,0,3.2934,2,35,4.5
366, Birdy's Rotisserie ,Australia,0,1.3134,3,35,3.89
367, Ezymart - Brighton Le Sands ,Australia,0,3.2934,60,35,4.89
368, Triple Shot Cafe ,Australia,0,3.2934,4,35,3.25
369, Stellini Pasta - Kensington ,Australia,0,3.2934,59,35,4.55
370, Calypso Cafe & Juice Bar - Wolli Creek ,Australia,0,1.9734,12,35,5.86
371, Zera Food & Co. ,Australia,0,1.9734,187,35,4.79
372, Chinese Noodle House ,Australia,0,2.6334,12,35,4.92
